system:index,LST,NDBI,NDVI,UHI,.geo
857,33.478226359322775,0.027905665338039398,0.47144702076911926,0.19659083661996973,"{""type"":""MultiPoint"",""coordinates"":[]}"
863,40.120699538916085,0.1443779021501541,0.2571120858192444,1.0859452852341798,"{""type"":""MultiPoint"",""coordinates"":[]}"
868,33.5204750334733,0.02616518922150135,0.455918550491333,0.20224747162442225,"{""type"":""MultiPoint"",""coordinates"":[]}"
869,41.45496291658037,0.040239088237285614,0.2996518611907959,1.2645885463307052,"{""type"":""MultiPoint"",""coordinates"":[]}"
871,35.253259752627116,0.058453451842069626,0.2641805112361908,0.43424837803448324,"{""type"":""MultiPoint"",""coordinates"":[]}"
874,38.170610218644526,0.03244587406516075,0.35391056537628174,0.8248496714036763,"{""type"":""MultiPoint"",""coordinates"":[]}"
876,32.09126133586142,0.015377168543636799,0.4491119384765625,0.010891402036299735,"{""type"":""MultiPoint"",""coordinates"":[]}"
879,37.45251530059409,0.10036678612232208,0.2628076374530792,0.7287046223190345,"{""type"":""MultiPoint"",""coordinates"":[]}"
881,37.33014573376073,0.01605559140443802,0.35763221979141235,0.712320676807206,"{""type"":""MultiPoint"",""coordinates"":[]}"
883,34.342053316706654,0.10368584096431732,0.40671494603157043,0.3122478105528726,"{""type"":""MultiPoint"",""coordinates"":[]}"
898,38.44976654487607,0.046442415565252304,0.4084010422229767,0.8622256477727707,"{""type"":""MultiPoint"",""coordinates"":[]}"
908,38.370516421290006,0.01844176836311817,0.4467887580394745,0.8516149237158002,"{""type"":""MultiPoint"",""coordinates"":[]}"
910,33.05297309919024,0.01351258810609579,0.4292166233062744,0.13965408001424384,"{""type"":""MultiPoint"",""coordinates"":[]}"
915,38.2385169326991,0.07665473222732544,0.2745250463485718,0.8339416370921106,"{""type"":""MultiPoint"",""coordinates"":[]}"
921,40.67119331589737,0.016217345371842384,0.4136092960834503,1.1596503761326755,"{""type"":""MultiPoint"",""coordinates"":[]}"
928,37.975262541723964,0.14953897893428802,0.19894330203533173,0.7986947557873831,"{""type"":""MultiPoint"",""coordinates"":[]}"
932,36.898140917452054,0.03346052020788193,0.2645759880542755,0.6544799607336772,"{""type"":""MultiPoint"",""coordinates"":[]}"
934,36.857129602123564,0.013528780080378056,0.33381491899490356,0.6489889945310638,"{""type"":""MultiPoint"",""coordinates"":[]}"
937,42.46967047602277,0.13492877781391144,0.2472887933254242,1.400446781303333,"{""type"":""MultiPoint"",""coordinates"":[]}"
938,38.11326828257819,0.020969754084944725,0.4315635561943054,0.8171722138432274,"{""type"":""MultiPoint"",""coordinates"":[]}"
941,30.761442390298384,0.004761248826980591,0.4807388186454773,-0.16715679825170693,"{""type"":""MultiPoint"",""coordinates"":[]}"
944,41.05037081521937,0.055146776139736176,0.1598975956439972,1.2104180927223984,"{""type"":""MultiPoint"",""coordinates"":[]}"
947,37.17639731483541,0.042325958609580994,0.367739200592041,0.6917354464808406,"{""type"":""MultiPoint"",""coordinates"":[]}"
951,34.514395123510496,0.07633734494447708,0.2780769467353821,0.33532249198840874,"{""type"":""MultiPoint"",""coordinates"":[]}"
958,39.45569582273373,0.08027943968772888,0.3620559573173523,0.9969085669304156,"{""type"":""MultiPoint"",""coordinates"":[]}"
961,36.449466722283944,0.058324284851551056,0.39974716305732727,0.5944073972979617,"{""type"":""MultiPoint"",""coordinates"":[]}"
973,37.940414409587845,0.017056118696928024,0.2672727108001709,0.7940289723505201,"{""type"":""MultiPoint"",""coordinates"":[]}"
982,41.83224487093821,0.09228315949440002,0.23056678473949432,1.3151024701988256,"{""type"":""MultiPoint"",""coordinates"":[]}"
993,37.229525454954626,0.10218755155801773,0.3758561909198761,0.6988487228892091,"{""type"":""MultiPoint"",""coordinates"":[]}"
994,36.27996791857197,0.05461758375167847,0.4166567623615265,0.5717133628562207,"{""type"":""MultiPoint"",""coordinates"":[]}"
998,40.40247795614124,0.04310709610581398,0.19342823326587677,1.1236723308852705,"{""type"":""MultiPoint"",""coordinates"":[]}"
1004,39.07697508371399,0.10534165054559708,0.3324486017227173,0.9462020055453548,"{""type"":""MultiPoint"",""coordinates"":[]}"
1006,36.32188605831544,0.029088160023093224,0.372706800699234,0.5773257429216787,"{""type"":""MultiPoint"",""coordinates"":[]}"
1014,37.05293443991883,0.014753185212612152,0.3944244384765625,0.6752051189842851,"{""type"":""MultiPoint"",""coordinates"":[]}"
1015,37.55034114096816,0.0628969743847847,0.25427842140197754,0.7418024315195875,"{""type"":""MultiPoint"",""coordinates"":[]}"
1016,39.67823950458495,0.04105547443032265,0.28661608695983887,1.0267047299128134,"{""type"":""MultiPoint"",""coordinates"":[]}"
1020,38.52987546928961,0.02113231271505356,0.4177737832069397,0.8729513558598962,"{""type"":""MultiPoint"",""coordinates"":[]}"
1024,39.46687758418983,0.021224835887551308,0.2940400540828705,0.9984056823910963,"{""type"":""MultiPoint"",""coordinates"":[]}"
1028,36.62944191086575,0.1282361000776291,0.3520994782447815,0.6185041049967063,"{""type"":""MultiPoint"",""coordinates"":[]}"
1037,37.639075145839,0.004488389939069748,0.441814124584198,0.7536829434677097,"{""type"":""MultiPoint"",""coordinates"":[]}"
1047,38.964911307393834,0.01580996997654438,0.43750110268592834,0.9311978925735445,"{""type"":""MultiPoint"",""coordinates"":[]}"
1051,37.215633092489895,0.0030861860141158104,0.3904876708984375,0.6969886876243734,"{""type"":""MultiPoint"",""coordinates"":[]}"
1080,37.87601362259943,0.05992855504155159,0.24117711186408997,0.7854064119195107,"{""type"":""MultiPoint"",""coordinates"":[]}"
1082,37.24259564733097,0.11449340730905533,0.24228422343730927,0.7005986785788848,"{""type"":""MultiPoint"",""coordinates"":[]}"
1083,36.80370308913791,0.04078763723373413,0.27316635847091675,0.6418357692619415,"{""type"":""MultiPoint"",""coordinates"":[]}"
1086,42.51724424566078,0.1614556610584259,0.23018886148929596,1.4068163883037634,"{""type"":""MultiPoint"",""coordinates"":[]}"
1090,36.54167711337499,0.011548378504812717,0.488772451877594,0.6067533593075962,"{""type"":""MultiPoint"",""coordinates"":[]}"
1093,39.010079427532446,0.04857812449336052,0.32344651222229004,0.9372454094388328,"{""type"":""MultiPoint"",""coordinates"":[]}"
1105,35.60736183944459,0.0368233323097229,0.4484347999095917,0.4816587713714391,"{""type"":""MultiPoint"",""coordinates"":[]}"
1107,42.48507700737156,0.11756795644760132,0.2943100929260254,1.4025095472072817,"{""type"":""MultiPoint"",""coordinates"":[]}"
1112,39.329790355808655,0.0979754850268364,0.35597968101501465,0.9800512031011316,"{""type"":""MultiPoint"",""coordinates"":[]}"
1122,35.925679149933785,0.02792605757713318,0.344749391078949,0.5242779748669368,"{""type"":""MultiPoint"",""coordinates"":[]}"
1130,36.92196488009222,0.04771054536104202,0.3363438844680786,0.6576697285482831,"{""type"":""MultiPoint"",""coordinates"":[]}"
1136,37.92795255420231,0.01439899206161499,0.42980921268463135,0.7923604663249084,"{""type"":""MultiPoint"",""coordinates"":[]}"
1143,37.330040261207614,0.04044659063220024,0.2742227017879486,0.712306555186872,"{""type"":""MultiPoint"",""coordinates"":[]}"
1146,39.303705100596176,0.0011310736881569028,0.45602571964263916,0.9765586729637535,"{""type"":""MultiPoint"",""coordinates"":[]}"
